outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,peer_cleaning_ann_rate,focal_cleaning_ann_rate,comparison,sample,fe_spec
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0021320581935369187,0.0006558966702426769,-3.2506007276238695,0.001151614652691313,30486,2651,4524,-0.0010575385452460163,0.25555992914780556,0.1695204356097881,0.08282490323427147,true_top5_vs_low_similarity_same_industry,base_no_announcement_filter,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.00017516689363765504,0.00046576323878865324,-0.3760856998788166,0.7068531851008912,30486,2651,4524,-0.0010575385452460163,0.25555992914780556,0.1695204356097881,0.08282490323427147,true_top5_vs_low_similarity_same_industry,base_no_announcement_filter,event_fe
peer_car_0_p1_mm,is_true_peer,0.0010380248868379412,0.0005212783668774856,1.9913062823915442,0.04644722520920963,30486,2651,4524,-0.0010575385452460163,0.25555992914780556,0.1695204356097881,0.08282490323427147,true_top5_vs_low_similarity_same_industry,base_no_announcement_filter,event_fe
peer_car_0_p1_mm,ai_active_true,0.0007846947465683053,0.0009652566267726529,0.8129389892840638,0.4162530389357477,30486,2651,4524,-0.0010575385452460163,0.25555992914780556,0.1695204356097881,0.08282490323427147,true_top5_vs_low_similarity_same_industry,base_no_announcement_filter,event_fe
peer_car_0_p1_mm,specz_ai_active_true,-0.0014842081611866082,0.0006863757633929275,-2.1623842803682276,0.030588568220125456,30486,2651,4524,-0.0010575385452460163,0.25555992914780556,0.1695204356097881,0.08282490323427147,true_top5_vs_low_similarity_same_industry,base_no_announcement_filter,event_fe
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.002661518644694744,0.0008449507903441292,-3.1499096457567286,0.0016332096437303711,30486,2651,4524,-0.001139014415215498,0.25555992914780556,0.1695204356097881,0.08282490323427147,true_top5_vs_low_similarity_same_industry,base_no_announcement_filter,event_fe
peer_car_m1_p1_mm,specz_ai_active,1.1127167757243606e-05,0.0005972990502374202,0.018629140215141265,0.9851369563367764,30486,2651,4524,-0.001139014415215498,0.25555992914780556,0.1695204356097881,0.08282490323427147,true_top5_vs_low_similarity_same_industry,base_no_announcement_filter,event_fe
peer_car_m1_p1_mm,is_true_peer,0.0011489286112698223,0.0006788039552744544,1.6925779561866088,0.09053582993945342,30486,2651,4524,-0.001139014415215498,0.25555992914780556,0.1695204356097881,0.08282490323427147,true_top5_vs_low_similarity_same_industry,base_no_announcement_filter,event_fe
peer_car_m1_p1_mm,ai_active_true,0.0014535705026403286,0.0012657655116037434,1.1483726561633312,0.25081475678062093,30486,2651,4524,-0.001139014415215498,0.25555992914780556,0.1695204356097881,0.08282490323427147,true_top5_vs_low_similarity_same_industry,base_no_announcement_filter,event_fe
peer_car_m1_p1_mm,specz_ai_active_true,-0.0019597376806505208,0.0008829331558145931,-2.2195764965270435,0.02644752919419746,30486,2651,4524,-0.001139014415215498,0.25555992914780556,0.1695204356097881,0.08282490323427147,true_top5_vs_low_similarity_same_industry,base_no_announcement_filter,event_fe
