outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,peer_cleaning_ann_rate,focal_cleaning_ann_rate,peer_group,top_n,sample,fe_spec,model
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0015970347268156005,0.0010397150776566616,-1.5360311311585875,0.12453074532318631,10376,2428,3857,-0.0002120192862142218,0.2587702390131072,0.1631649961449499,0.0,true_top5,5,drop_focal_cleaning_ann_event_or_0,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,-0.0021217663850154546,0.0009030529511315599,-2.3495481437237986,0.018796213195003464,10376,2428,3857,-0.0002120192862142218,0.2587702390131072,0.1631649961449499,0.0,true_top5,5,drop_focal_cleaning_ann_event_or_0,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-2.4901352288458494e-05,0.0014618452162981292,-0.017034192136645542,0.9864093383443817,10376,2428,3857,-1.5793298233240342e-05,0.2587702390131072,0.1631649961449499,0.0,true_top5,5,drop_focal_cleaning_ann_event_or_0,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,-0.0021727077588185604,0.0012085140115678141,-1.797834148401714,0.07220329410491533,10376,2428,3857,-1.5793298233240342e-05,0.2587702390131072,0.1631649961449499,0.0,true_top5,5,drop_focal_cleaning_ann_event_or_0,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0024162609046655906,0.0010949558164222457,-2.206720004977637,0.027333626742922057,8683,2416,3573,-0.00033194966510457754,0.25567200276402163,0.0,0.0,true_top5,5,drop_either_cleaning_ann,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,-0.002297911001923226,0.0008664401510745533,-2.652128942862784,0.007998598959185976,8683,2416,3573,-0.00033194966510457754,0.25567200276402163,0.0,0.0,true_top5,5,drop_either_cleaning_ann,event_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.0019201217935345659,0.0012933260563935426,-1.4846386060517884,0.13763958296181467,8683,2416,3573,-0.00011803718176927336,0.25567200276402163,0.0,0.0,true_top5,5,drop_either_cleaning_ann,event_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,-0.002072529144805032,0.0009933283449096912,-2.086449214326464,0.03693795096675023,8683,2416,3573,-0.00011803718176927336,0.25567200276402163,0.0,0.0,true_top5,5,drop_either_cleaning_ann,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0015778011862991896,0.0012038598325032946,-1.3106186814276584,0.18998662447618786,8683,2416,3573,-0.00033194966510457754,0.25567200276402163,0.0,0.0,true_top5,5,drop_either_cleaning_ann,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,-0.0022976829710075843,0.0009881309369886631,-2.325281888258444,0.02005689211145323,8683,2416,3573,-0.00033194966510457754,0.25567200276402163,0.0,0.0,true_top5,5,drop_either_cleaning_ann,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
