outcome,fe_spec,draws,random_mean_coef,random_p05,random_p50,random_p95,true_top5_coef,share_random_le_true,share_random_negative_p10,share_random_negative_p05
peer_car_0_p1_mm,event_fe,100,-4.9824272814334386e-05,-0.0014829908039879535,-5.4945838053383434e-05,0.001505625579770638,-0.002297911001923226,0.0,0.06,0.03
peer_car_0_p1_mm,event_fe_peer_industry_week_fe,100,-4.982427281433434e-05,-0.0014829908039879535,-5.494583805338342e-05,0.001505625579770638,-0.0022976829710075843,0.0,0.06,0.03
peer_car_m1_p1_mm,event_fe,100,-5.8063548557252454e-05,-0.0015478511015705148,-3.599524119746914e-05,0.0016184220790075824,-0.002072529144805032,0.02,0.04,0.01
peer_car_m1_p1_mm,event_fe_peer_industry_week_fe,100,-5.8063548557252475e-05,-0.0015478511015705148,-3.599524119746896e-05,0.001618422079007582,-0.0014692701282636596,0.08,0.04,0.01
