outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,peer_cleaning_ann_rate,focal_cleaning_ann_rate,peer_group,sample,fe_spec
peer_car_0_p1_mm,specz_ai_active,-0.002297911001923226,0.0008664401510745533,-2.652128942862784,0.007998598959185976,8683,2416,3573,-0.00033194966510457754,0.25567200276402163,0.0,0.0,true_top5,drop_either_cleaning_ann,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0022976829710075843,0.0009881309369886631,-2.325281888258444,0.02005689211145323,8683,2416,3573,-0.00033194966510457754,0.25567200276402163,0.0,0.0,true_top5,drop_either_cleaning_ann,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.002072529144805032,0.0009933283449096912,-2.086449214326464,0.03693795096675023,8683,2416,3573,-0.00011803718176927336,0.25567200276402163,0.0,0.0,true_top5,drop_either_cleaning_ann,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0014692701282636596,0.0011305841378889002,-1.2995672582203177,0.1937493275922637,8683,2416,3573,-0.00011803718176927336,0.25567200276402163,0.0,0.0,true_top5,drop_either_cleaning_ann,event_fe_peer_industry_week_fe
