outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,peer_cleaning_ann_rate,focal_cleaning_ann_rate,peer_group,top_n,sample,fe_spec,model
peer_ablog_value_0_p1,ai_active_peer_tminus5,0.08929475812994855,0.019830275529520602,4.502950954817482,6.701635374639636e-06,11522,2647,4026,0.11295059344973819,0.2568130532893595,0.17063009894115605,0.08201701093560146,true_top5,5,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_ablog_value_0_p1,specz_ai_active,-0.03682114751439577,0.014538539725348269,-2.532657901687146,0.011320137170809375,11522,2647,4026,0.11295059344973819,0.2568130532893595,0.17063009894115605,0.08201701093560146,true_top5,5,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_ablog_shares_0_p1,ai_active_peer_tminus5,0.06522584096096729,0.01753011109441047,3.720788796470591,0.00019860148336214856,11522,2647,4026,0.08158852112770205,0.2568130532893595,0.17063009894115605,0.08201701093560146,true_top5,5,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_ablog_shares_0_p1,specz_ai_active,-0.030153562212518283,0.012954427899509988,-2.3276645210753664,0.019929924467000815,11522,2647,4026,0.08158852112770205,0.2568130532893595,0.17063009894115605,0.08201701093560146,true_top5,5,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_ablog_value_m1_p1,ai_active_peer_tminus5,0.0928028963974041,0.019751815941416298,4.698448824789408,2.621448540685023e-06,11522,2647,4026,0.11435997610089012,0.2568130532893595,0.17063009894115605,0.08201701093560146,true_top5,5,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_ablog_value_m1_p1,specz_ai_active,-0.0350679443970093,0.014334853886508027,-2.44634125151532,0.014431433474816124,11522,2647,4026,0.11435997610089012,0.2568130532893595,0.17063009894115605,0.08201701093560146,true_top5,5,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_ablog_shares_m1_p1,ai_active_peer_tminus5,0.06822049874479601,0.017414043209633103,3.917556533169608,8.945107197089186e-05,11522,2647,4026,0.08329994755189574,0.2568130532893595,0.17063009894115605,0.08201701093560146,true_top5,5,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_ablog_shares_m1_p1,specz_ai_active,-0.028718662050058442,0.012712085689136452,-2.2591620881379804,0.023873304149838903,11522,2647,4026,0.08329994755189574,0.2568130532893595,0.17063009894115605,0.08201701093560146,true_top5,5,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_ablog_value_0_p1,ai_active_peer_tminus5,0.08447945533161019,0.021707212195597066,3.891768992277387,9.951597518087496e-05,11522,2647,4026,0.11295059344973819,0.2568130532893595,0.17063009894115605,0.08201701093560146,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_ablog_value_0_p1,specz_ai_active,-0.03252037427118784,0.015854644590651713,-2.051157569962978,0.040251604408852115,11522,2647,4026,0.11295059344973819,0.2568130532893595,0.17063009894115605,0.08201701093560146,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_ablog_shares_0_p1,ai_active_peer_tminus5,0.06351914813286612,0.019215417614062442,3.305634538298081,0.0009476159822818797,11522,2647,4026,0.08158852112770205,0.2568130532893595,0.17063009894115605,0.08201701093560146,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_ablog_shares_0_p1,specz_ai_active,-0.024845979925859,0.014241154295712329,-1.7446605387415495,0.08104397612836567,11522,2647,4026,0.08158852112770205,0.2568130532893595,0.17063009894115605,0.08201701093560146,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
