peer_group,top_n,sample,obs,events,peer_firms,mean_current_text_history,mean_prior_cac,mean_prior_ai_patent_grant,mean_prior_broad_ai_hiring_365_ge1,mean_prior_broad_ai_hiring_365_ge3,mean_ext_no_hiring,mean_ext_any,mean_ext_strict,mean_ext_genai_strict,mean_ext_plus_history
ai_stripped_top5,5,base_no_announcement_filter,11273,2645,3973,0.25751796327508203,0.0026612259380821434,0.017564091191342144,0.20172092610662645,0.09154617227002572,0.020225317129424287,0.21245453739022443,0.1060942073982081,0.07034507229663799,0.3243147343209438
ai_stripped_top5,5,drop_either_cleaning_ann,8655,2415,3550,0.25222414789139225,0.0028885037550548816,0.016984402079722703,0.19445407279029464,0.08815713460427499,0.019872905834777584,0.2049682264586944,0.10259965337954939,0.06955517042172155,0.3190063547082611
ai_stripped_top10,10,base_no_announcement_filter,22509,2650,4774,0.2621173752721134,0.0029765871429206095,0.017059842729574837,0.2009418454840286,0.09325158825358745,0.019947576524945578,0.21111555377848862,0.10769025723044116,0.06979430450042205,0.32897951930338976
ai_stripped_top10,10,drop_either_cleaning_ann,17261,2431,4506,0.2571114072185853,0.003070505764440067,0.016395342100689415,0.19575922600081108,0.09043508487341405,0.01934997972307514,0.20560801807543017,0.10468686634609814,0.0687098082382249,0.3233300504026418
