model,outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,ai_def,tau,base_tau,fe,ci_low,ci_high
daily_event_time_current_text_history,abret_mm,spec_ai_current_text_history_tau_m10,0.0010367717002852583,0.0008432991022406072,1.2294234602297136,0.21891307873861776,163721,2177,3345,-0.0005608429138376901,current_text_history,-10,-2,pair_id+tau_fe,-0.0006160945401063318,0.0026896379406768484
daily_event_time_current_text_history,abret_mm,spec_ai_current_text_history_tau_m9,8.128606030534527e-05,0.0007720021771542231,0.10529252728921609,0.9161436923753117,163721,2177,3345,-0.0005608429138376901,current_text_history,-9,-2,pair_id+tau_fe,-0.001431838206916932,0.0015944103275276225
daily_event_time_current_text_history,abret_mm,spec_ai_current_text_history_tau_m8,0.0002816531322565297,0.0008479170696011967,0.3321706123795815,0.7397604330245517,163721,2177,3345,-0.0005608429138376901,current_text_history,-8,-2,pair_id+tau_fe,-0.0013802643241618156,0.001943570588674875
daily_event_time_current_text_history,abret_mm,spec_ai_current_text_history_tau_m7,0.0008216901342386649,0.0008272273364546973,0.9933063113705073,0.32056070276803905,163721,2177,3345,-0.0005608429138376901,current_text_history,-7,-2,pair_id+tau_fe,-0.0007996754452125418,0.0024430557136898715
daily_event_time_current_text_history,abret_mm,spec_ai_current_text_history_tau_m6,-0.00029818643628011304,0.000854949888628226,-0.34877650754309775,0.7272571015141123,163721,2177,3345,-0.0005608429138376901,current_text_history,-6,-2,pair_id+tau_fe,-0.001973888217991436,0.0013775153454312098
daily_event_time_current_text_history,abret_mm,spec_ai_current_text_history_tau_m5,-0.0006807117797532036,0.0008416977778216382,-0.8087365770584835,0.418666684145238,163721,2177,3345,-0.0005608429138376901,current_text_history,-5,-2,pair_id+tau_fe,-0.0023304394242836144,0.0009690158647772074
daily_event_time_current_text_history,abret_mm,spec_ai_current_text_history_tau_m4,0.0003137403361353617,0.0009014151854431797,0.3480530849733928,0.7278003167974434,163721,2177,3345,-0.0005608429138376901,current_text_history,-4,-2,pair_id+tau_fe,-0.0014530334273332706,0.0020805140996039938
daily_event_time_current_text_history,abret_mm,spec_ai_current_text_history_tau_m3,0.0011205189998214763,0.0008746259926484656,1.2811407495773355,0.20014423299461104,163721,2177,3345,-0.0005608429138376901,current_text_history,-3,-2,pair_id+tau_fe,-0.0005937479457695162,0.002834785945412469
daily_event_time_current_text_history,abret_mm,spec_ai_current_text_history_tau_m1,-6.725967811143881e-05,0.0008733701522070515,-0.07701165186544345,0.9386142756493991,163721,2177,3345,-0.0005608429138376901,current_text_history,-1,-2,pair_id+tau_fe,-0.0017790651764372596,0.001644545820214382
daily_event_time_current_text_history,abret_mm,spec_ai_current_text_history_tau_p0,-0.000475150324568097,0.0009433785253168857,-0.503668794462426,0.614494140557551,163721,2177,3345,-0.0005608429138376901,current_text_history,0,-2,pair_id+tau_fe,-0.002324172234189193,0.0013738715850529991
daily_event_time_current_text_history,abret_mm,spec_ai_current_text_history_tau_p1,-0.0007604857968415851,0.0008380372965626884,-0.9074605628661276,0.3641632953610068,163721,2177,3345,-0.0005608429138376901,current_text_history,1,-2,pair_id+tau_fe,-0.0024030388981044542,0.000882067304421284
daily_event_time_current_text_history,abret_mm,spec_ai_current_text_history_tau_p2,0.0005912376826821175,0.0008368619120891445,0.7064937167544764,0.4798811587678513,163721,2177,3345,-0.0005608429138376901,current_text_history,2,-2,pair_id+tau_fe,-0.0010490116650126056,0.0022314870303768407
