model,outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,ai_def,fe,controls,cluster
average_peer_effect_no_event_fe,peer_car_0_p1_mm,own_genai_implementation_regex,-0.0007405022542919374,0.002717509530278278,-0.2724929741888002,0.7852429927476008,7805,2177,3345,-4.0177962161600595e-05,none,focal_industry_week+peer_industry_week,"PeerCAR[-10,-2] + PeerCAR[-20,-2]",event_id + peer_code
average_peer_effect_no_event_fe,peer_car_0_p1_mm,ai_supply_chain_exposure,0.004224832150249634,0.0018991384275456533,2.2246046359609424,0.02610779115288686,7805,2177,3345,-4.0177962161600595e-05,none,focal_industry_week+peer_industry_week,"PeerCAR[-10,-2] + PeerCAR[-20,-2]",event_id + peer_code
average_peer_effect_no_event_fe,peer_car_0_p1_mm,generic_ai_attention_regex,0.0011086106974664443,0.003351654188446522,0.33076523863587515,0.7408218198282872,7805,2177,3345,-4.0177962161600595e-05,none,focal_industry_week+peer_industry_week,"PeerCAR[-10,-2] + PeerCAR[-20,-2]",event_id + peer_code
average_peer_effect_no_event_fe,peer_car_0_p1_mm,denial_no_current_regex,0.00041619260929091277,0.003196360182448642,0.13020829491502403,0.8964016320600257,7805,2177,3345,-4.0177962161600595e-05,none,focal_industry_week+peer_industry_week,"PeerCAR[-10,-2] + PeerCAR[-20,-2]",event_id + peer_code
