ai_def,spec,outcome,term,coef,se,z,p,nobs,events,peer_firms,fe,cluster,controls
text_history,residual_y_baseline,peer_car_0_p1_resid_pre10,spec_ai,-0.0022735906339189553,0.0010279419082211095,-2.2117890278970003,0.026981245592678338,7805,2177,3345,event_id+peer_industry_week,event_id + peer_code,"Outcome residualized on PeerCAR[-10,-2]; RHS controls PeerCAR[-20,-2]"
text_history,residual_y_add_focal_car,peer_car_0_p1_resid_pre10,spec_ai,-0.0022735906339189545,0.0010280077913750448,-2.2116472783516947,0.026991045978858708,7805,2177,3345,event_id+peer_industry_week,event_id + peer_code,"Outcome residualized on PeerCAR[-10,-2]; FocalCAR[0,+1], PeerCAR[-20,-2]"
text_history,residual_y_add_focal_car_x_ai,peer_car_0_p1_resid_pre10,spec_ai,-0.0022808505088415844,0.001027036838243027,-2.220806911603563,0.02636404225975797,7805,2177,3345,event_id+peer_industry_week,event_id + peer_code,"Outcome residualized on PeerCAR[-10,-2]; FocalCAR[0,+1], FocalCAR[0,+1] x AIActive, PeerCAR[-20,-2]"
ext_any,residual_y_baseline,peer_car_0_p1_resid_pre10,spec_ai,-0.002295032907492107,0.0009918422234056659,-2.3139092623136217,0.02067269994188292,7805,2177,3345,event_id+peer_industry_week,event_id + peer_code,"Outcome residualized on PeerCAR[-10,-2]; RHS controls PeerCAR[-20,-2]"
ext_any,residual_y_add_focal_car,peer_car_0_p1_resid_pre10,spec_ai,-0.0022950329074921056,0.0009919057928480255,-2.3137609680677995,0.02068083750390004,7805,2177,3345,event_id+peer_industry_week,event_id + peer_code,"Outcome residualized on PeerCAR[-10,-2]; FocalCAR[0,+1], PeerCAR[-20,-2]"
ext_any,residual_y_add_focal_car_x_ai,peer_car_0_p1_resid_pre10,spec_ai,-0.002299870048354374,0.0009897780122983702,-2.3236220847276963,0.020145757714776558,7805,2177,3345,event_id+peer_industry_week,event_id + peer_code,"Outcome residualized on PeerCAR[-10,-2]; FocalCAR[0,+1], FocalCAR[0,+1] x AIActive, PeerCAR[-20,-2]"
