type,events,event_share,obs,obs_share,mean_specificity_z_events
own_impl,1526,0.7009646302250804,5547,0.7106982703395259,0.23763942940545968
supply_chain,301,0.1382636655948553,1044,0.13376040999359384,-0.13585243577247508
generic_attention,214,0.0983004134129536,751,0.09622037155669443,0.0227226793946932
denial_no_current,251,0.11529627928341754,872,0.11172325432415119,0.05700181026729054
