model,outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,ai_def,control_spec,fe_spec
pretrend_adjusted_main,peer_car_0_p1_mm,spec_ai,-0.0023815382464718584,0.0008298969852439722,-2.869679356374257,0.00410888229363171,8683,2416,3573,-0.00033194966510457754,ext_plus_history,no_pretrend_control,event_fe
pretrend_adjusted_main,peer_car_0_p1_mm,spec_ai,-0.0024052143727432123,0.0009050991515726696,-2.6574042949482313,0.007874494520097253,8683,2416,3573,-0.00033194966510457754,ext_plus_history,no_pretrend_control,event_fe_peer_industry_week_fe
pretrend_adjusted_main,peer_car_0_p1_mm,spec_ai,-0.0019371180540552115,0.0010786429515907473,-1.7958844038227972,0.07251290335818927,8683,2416,3573,-0.00033194966510457754,ext_plus_history,no_pretrend_control,event_peer_firm_fe
pretrend_adjusted_main,peer_car_0_p1_mm,spec_ai,-0.0022476137022500987,0.0008157587773449244,-2.755243050605569,0.005864855033559824,8670,2415,3570,-0.0003114027664473641,ext_plus_history,control_pre10,event_fe
pretrend_adjusted_main,peer_car_0_p1_mm,spec_ai,-0.002171412296091306,0.0008871169258959018,-2.4477182575435488,0.014376402367760832,8670,2415,3570,-0.0003114027664473641,ext_plus_history,control_pre10,event_fe_peer_industry_week_fe
pretrend_adjusted_main,peer_car_0_p1_mm,spec_ai,-0.0021201152763674013,0.0010703656271001264,-1.9807393125200545,0.04762051566379322,8670,2415,3570,-0.0003114027664473641,ext_plus_history,control_pre10,event_peer_firm_fe
pretrend_adjusted_main,peer_car_0_p1_mm,spec_ai,-0.0022942224066496097,0.0008166561961853113,-2.809287944383657,0.0049651216532307085,8649,2415,3566,-0.00027446453498791744,ext_plus_history,control_pre20,event_fe
pretrend_adjusted_main,peer_car_0_p1_mm,spec_ai,-0.002267872646012777,0.000889719553274,-2.5489747164344467,0.010804013275271362,8649,2415,3566,-0.00027446453498791744,ext_plus_history,control_pre20,event_fe_peer_industry_week_fe
pretrend_adjusted_main,peer_car_0_p1_mm,spec_ai,-0.002261934094212996,0.0010840587226605251,-2.0865420358979248,0.03692955160504385,8649,2415,3566,-0.00027446453498791744,ext_plus_history,control_pre20,event_peer_firm_fe
pretrend_adjusted_main,peer_car_0_p1_mm,spec_ai,-0.002294342444659912,0.0008157420443194831,-2.812583292275835,0.0049145293594419215,8649,2415,3566,-0.00027446453498791744,ext_plus_history,control_pre10_pre20,event_fe
pretrend_adjusted_main,peer_car_0_p1_mm,spec_ai,-0.002264635034008224,0.0008899807696254794,-2.5445887274184864,0.010940651248871891,8649,2415,3566,-0.00027446453498791744,ext_plus_history,control_pre10_pre20,event_fe_peer_industry_week_fe
pretrend_adjusted_main,peer_car_0_p1_mm,spec_ai,-0.002245150657567171,0.0010831388519439654,-2.0728188759342188,0.03818913906276111,8649,2415,3566,-0.00027446453498791744,ext_plus_history,control_pre10_pre20,event_peer_firm_fe
