model,outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,ai_def,fe_spec
non_genai_iip_pseudo_event_ddd,peer_car_0_p1_mm,spec_ai_true,0.0023492739245538153,0.002554118946342246,0.9197981667683138,0.3576782415382016,14790,2436,3679,-0.0007263091411894819,current_text_history,event_fe
non_genai_iip_pseudo_event_ddd,peer_car_0_p1_mm,spec_ai_true,0.002283945036322004,0.002558285749188747,0.8927638505769971,0.37198364888979407,14790,2436,3679,-0.0007263091411894819,current_text_history,event_fe_peer_industry_week_fe
