outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,peer_group,top_n,sample,fe_spec,model
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0025949547720402525,0.0009077177809455687,-2.858768249903721,0.0042528936090455716,11288,2646,3977,-0.00018042890843770917,0.2600106307583274,true_top5,5,first_focal_event_clean,event_fe,M1
peer_car_0_p1_mm,specz_ai_active,-0.0018249601519794234,0.0007615958809136799,-2.3962316468808034,0.01656461798097575,11288,2646,3977,-0.00018042890843770917,0.2600106307583274,true_top5,5,first_focal_event_clean,event_fe,M1
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0025960552121393515,0.0009077008298610703,-2.8600339745604235,0.004235956248682449,11288,2646,3977,-0.00018042890843770917,0.2600106307583274,true_top5,5,first_focal_event_clean,event_fe,M2_plus_similarity
peer_car_0_p1_mm,specz_ai_active,-0.0018221340739049054,0.0007613446683437365,-2.3933103490024537,0.01669711094470938,11288,2646,3977,-0.00018042890843770917,0.2600106307583274,true_top5,5,first_focal_event_clean,event_fe,M2_plus_similarity
peer_car_0_p1_mm,product_similarity,0.0033226296292442467,0.0059803603515015775,0.5555902042608494,0.5784910294852912,11288,2646,3977,-0.00018042890843770917,0.2600106307583274,true_top5,5,first_focal_event_clean,event_fe,M2_plus_similarity
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.002058804934299003,0.0012109429495889494,-1.7001667460864758,0.08909956533107288,11288,2646,3977,-9.095750542233441e-05,0.2600106307583274,true_top5,5,first_focal_event_clean,event_fe,M1
peer_car_m1_p1_mm,specz_ai_active,-0.001920533075932548,0.0009782477797778593,-1.9632378581719483,0.04961854229041718,11288,2646,3977,-9.095750542233441e-05,0.2600106307583274,true_top5,5,first_focal_event_clean,event_fe,M1
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.0020611852299486787,0.001211020070544565,-1.7020240044591632,0.08875086849931368,11288,2646,3977,-9.095750542233441e-05,0.2600106307583274,true_top5,5,first_focal_event_clean,event_fe,M2_plus_similarity
peer_car_m1_p1_mm,specz_ai_active,-0.0019144201567905376,0.000978169414389597,-1.9571457956341698,0.0503303295137405,11288,2646,3977,-9.095750542233441e-05,0.2600106307583274,true_top5,5,first_focal_event_clean,event_fe,M2_plus_similarity
peer_car_m1_p1_mm,product_similarity,0.007186979880546151,0.007243225745247462,0.992234693949969,0.32108305200750453,11288,2646,3977,-9.095750542233441e-05,0.2600106307583274,true_top5,5,first_focal_event_clean,event_fe,M2_plus_similarity
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0017762725817608948,0.0010144055363039744,-1.7510477991206674,0.07993767682600317,11288,2646,3977,-0.00018042890843770917,0.2600106307583274,true_top5,5,first_focal_event_clean,event_fe_peer_industry_week_fe,M1
peer_car_0_p1_mm,specz_ai_active,-0.0015125060810466228,0.000875174289316234,-1.7282341352010357,0.08394625614011098,11288,2646,3977,-0.00018042890843770917,0.2600106307583274,true_top5,5,first_focal_event_clean,event_fe_peer_industry_week_fe,M1
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0017777111650222421,0.0010144742983841442,-1.752347169222308,0.0797141298347459,11288,2646,3977,-0.00018042890843770917,0.2600106307583274,true_top5,5,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
peer_car_0_p1_mm,specz_ai_active,-0.0015113372817009113,0.0008748587050093062,-1.727521567822583,0.08407403514256662,11288,2646,3977,-0.00018042890843770917,0.2600106307583274,true_top5,5,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
peer_car_0_p1_mm,product_similarity,0.005076958596958057,0.006138634332533242,0.8270501746701924,0.4082086232694224,11288,2646,3977,-0.00018042890843770917,0.2600106307583274,true_top5,5,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.00032765830219997987,0.001404005719453271,-0.23337390842508257,0.8154710719150664,11288,2646,3977,-9.095750542233441e-05,0.2600106307583274,true_top5,5,first_focal_event_clean,event_fe_peer_industry_week_fe,M1
peer_car_m1_p1_mm,specz_ai_active,-0.0014168150161583968,0.0011704002661099841,-1.21053887049036,0.22607218474427748,11288,2646,3977,-9.095750542233441e-05,0.2600106307583274,true_top5,5,first_focal_event_clean,event_fe_peer_industry_week_fe,M1
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.0003303428396800441,0.001404505797148804,-0.2352021902299383,0.8140518061201694,11288,2646,3977,-9.095750542233441e-05,0.2600106307583274,true_top5,5,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
peer_car_m1_p1_mm,specz_ai_active,-0.0014146339219287152,0.0011701950614806354,-1.2088872774243244,0.22670615461769805,11288,2646,3977,-9.095750542233441e-05,0.2600106307583274,true_top5,5,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
peer_car_m1_p1_mm,product_similarity,0.00947410275406272,0.007298897131503703,1.2980183969397696,0.19428101332865833,11288,2646,3977,-9.095750542233441e-05,0.2600106307583274,true_top5,5,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
