outcome,fe_spec,draws,random_mean_coef,random_p05,random_p50,random_p95,true_top5_coef,share_random_le_true,share_random_negative_p10
peer_car_0_p1_mm,event_fe,100,-0.00013098409907864552,-0.0009620527200663011,-0.00016031008906145677,0.0006541537142340871,-0.0018249601519794234,0.0,0.08
peer_car_0_p1_mm,event_fe_peer_industry_week_fe,100,-0.00013098409907864555,-0.0009620527200663009,-0.000160310089061457,0.0006541537142340868,-0.0015125060810466228,0.0,0.08
peer_car_m1_p1_mm,event_fe,100,-0.00017328591780639498,-0.0012085224932428138,-0.00012953138110747425,0.000825316675827955,-0.001920533075932548,0.0,0.1
peer_car_m1_p1_mm,event_fe_peer_industry_week_fe,100,-0.00017328591780639498,-0.0012085224932428138,-0.00012953138110747425,0.0008253166758279551,-0.0014168150161583968,0.01,0.1
