top_n,sample,obs,events,focal_firms,peer_firms,mean_ai_active,mean_similarity_stripped,mean_car_0_p1_mm,mean_car_m1_p1_mm
5,base_no_announcement_filter,11273,2645,2645,3973,0.25751796327508203,0.23427070883407353,-3.444335817258166e-05,3.668479252395786e-05
5,drop_either_cleaning_ann,8655,2415,2415,3550,0.25222414789139225,0.23585658664270878,-0.00023949304091868944,-5.9518105992253584e-05
10,base_no_announcement_filter,22509,2650,2650,4774,0.2621173752721134,0.20651495809207415,-0.000507331578913078,-0.0006027264848901041
10,drop_either_cleaning_ann,17261,2431,2431,4506,0.2571114072185853,0.20808120566185748,-0.0007270976567538258,-0.0007700806465078773
