outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,peer_cleaning_ann_rate,focal_cleaning_ann_rate,peer_group,top_n,sample,fe_spec,model
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0017036917137959867,0.0006702174555806883,-2.5419984209749926,0.011022067145117331,22509,2650,4774,-0.000507331578913078,0.2621173752721134,0.17339730774356923,0.08014571948998178,ai_stripped_top_peers,10,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,-0.0011368535311692854,0.0006023809222860362,-1.8872668258731122,0.059124446057847724,22509,2650,4774,-0.000507331578913078,0.2621173752721134,0.17339730774356923,0.08014571948998178,ai_stripped_top_peers,10,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.0015075321556052425,0.0008731109196018014,-1.7266215800997895,0.08423564767986513,22509,2650,4774,-0.0006027264848901041,0.2621173752721134,0.17339730774356923,0.08014571948998178,ai_stripped_top_peers,10,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,-0.0013115335147101403,0.0007508756192297744,-1.7466721266772145,0.08069422801235193,22509,2650,4774,-0.0006027264848901041,0.2621173752721134,0.17339730774356923,0.08014571948998178,ai_stripped_top_peers,10,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.001694072422844781,0.0007334258407390098,-2.3098073843945977,0.020898820300204957,17261,2431,4506,-0.0007270976567538258,0.2571114072185853,0.0,0.0,ai_stripped_top_peers,10,drop_either_cleaning_ann,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,-0.0012967727803283406,0.0006252103797135936,-2.074138277938359,0.03806647050475287,17261,2431,4506,-0.0007270976567538258,0.2571114072185853,0.0,0.0,ai_stripped_top_peers,10,drop_either_cleaning_ann,event_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.0019133573682689141,0.0008906595344461176,-2.1482477807401352,0.03169407680161984,17261,2431,4506,-0.0007700806465078773,0.2571114072185853,0.0,0.0,ai_stripped_top_peers,10,drop_either_cleaning_ann,event_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,-0.0012511980595519237,0.0007496925873308431,-1.6689481538114286,0.09512765521340039,17261,2431,4506,-0.0007700806465078773,0.2571114072185853,0.0,0.0,ai_stripped_top_peers,10,drop_either_cleaning_ann,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0014251958012449933,0.000756947296812662,-1.8828203855752947,0.05972471342928687,17261,2431,4506,-0.0007270976567538258,0.2571114072185853,0.0,0.0,ai_stripped_top_peers,10,drop_either_cleaning_ann,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,-0.001480932446433474,0.0006684842847501795,-2.2153586557190588,0.026735456761076692,17261,2431,4506,-0.0007270976567538258,0.2571114072185853,0.0,0.0,ai_stripped_top_peers,10,drop_either_cleaning_ann,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.001329497360745958,0.0009243644355763186,-1.43828268329801,0.15035386320101196,17261,2431,4506,-0.0007700806465078773,0.2571114072185853,0.0,0.0,ai_stripped_top_peers,10,drop_either_cleaning_ann,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,-0.001336132543141703,0.0007953130824959268,-1.6800082540432069,0.09295570979446599,17261,2431,4506,-0.0007700806465078773,0.2571114072185853,0.0,0.0,ai_stripped_top_peers,10,drop_either_cleaning_ann,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
