model,outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,top_n,window_days,response_rate,baseline_rate_mean
peer_disclosure_diffusion_mechanism,first_response_60,spec_similarity,-0.0005798787346496233,0.007088377781073218,-0.08180697369121127,0.9348002104613147,9709,2586,3785,0.12215470182305077,5,60,0.12215470182305077,0.05767844268204758
peer_disclosure_diffusion_mechanism,first_response_90,spec_similarity,0.0039677901570935765,0.008057616411275783,0.49242728302889593,0.6224173160235122,9697,2583,3783,0.14798391255027327,5,90,0.14798391255027327,0.05774981953181396
peer_disclosure_diffusion_mechanism,first_response_180,spec_similarity,0.0012461747719638688,0.008677755125163751,0.1436056622927987,0.8858118691449279,9592,2547,3772,0.18327773144286905,5,180,0.18327773144286905,0.05827773144286906
peer_disclosure_diffusion_mechanism,first_response_60,spec_similarity,-0.005182060553598808,0.005177686182991411,-1.000844850470422,0.31690182241402165,19334,2617,4700,0.1184441915796007,10,60,0.1184441915796007,0.05637736629771387
peer_disclosure_diffusion_mechanism,first_response_90,spec_similarity,-0.0025720129392919145,0.005799983910553986,-0.4434517369283958,0.6574390210724952,19310,2613,4700,0.14339720352149146,10,90,0.14339720352149146,0.05639564992232004
peer_disclosure_diffusion_mechanism,first_response_180,spec_similarity,-0.003606650205436599,0.006104097855130478,-0.5908572062627108,0.5546161011710586,19103,2577,4697,0.17505103910380568,10,180,0.17505103910380568,0.05695440506726692
