model,sample_name,top_n,clean,outcome,covariance,term,coef,se,z,p,nobs,events,focal_firms,peer_firms,mean_y,mean_ai_active
M1_specz_x_ai_active,all_events,5,clean_m1_p1,peer_ar0_ma,event_cluster,specz_ai_active,-0.00045627655757998515,0.00024208335977261348,-1.8847910819172422,0.05945804947410416,88020,20099,2649,4136,-0.00015089595546466616,0.5554192229038855
M1_specz_x_ai_active,all_events,5,clean_m1_p1,peer_ar0_ma,twoway_event_peer,ai_active_peer_tminus5,0.00015376571124415267,0.00024389620123034658,0.6304555399734554,0.5283965827101305,88020,20099,2649,4136,-0.00015089595546466616,0.5554192229038855
M1_specz_x_ai_active,all_events,5,clean_m1_p1,peer_ar0_ma,twoway_event_peer,specz_ai_active,-0.00045627655757998515,0.00023557525710657775,-1.936861125332695,0.05276232157209093,88020,20099,2649,4136,-0.00015089595546466616,0.5554192229038855
M2_plus_similarity_control,all_events,5,clean_m1_p1,peer_ar0_ma,event_cluster,ai_active_peer_tminus5,0.00015848061617257804,0.00023912318752125543,0.6627572081795323,0.5074860639149006,88020,20099,2649,4136,-0.00015089595546466616,0.5554192229038855
M2_plus_similarity_control,all_events,5,clean_m1_p1,peer_ar0_ma,event_cluster,specz_ai_active,-0.00045585862633777446,0.0002421080849270805,-1.8828723810486236,0.05971766496289921,88020,20099,2649,4136,-0.00015089595546466616,0.5554192229038855
M2_plus_similarity_control,all_events,5,clean_m1_p1,peer_ar0_ma,event_cluster,product_similarity,-0.0013563124256810305,0.002009395143878941,-0.6749854202706999,0.49968502799225534,88020,20099,2649,4136,-0.00015089595546466616,0.5554192229038855
M2_plus_similarity_control,all_events,5,clean_m1_p1,peer_ar0_ma,twoway_event_peer,ai_active_peer_tminus5,0.00015848061617257804,0.00024365068482267956,0.6504419073885004,0.5154068148690323,88020,20099,2649,4136,-0.00015089595546466616,0.5554192229038855
M2_plus_similarity_control,all_events,5,clean_m1_p1,peer_ar0_ma,twoway_event_peer,specz_ai_active,-0.00045585862633777446,0.00023572109667046735,-1.9338898078140807,0.053126677531943445,88020,20099,2649,4136,-0.00015089595546466616,0.5554192229038855
M2_plus_similarity_control,all_events,5,clean_m1_p1,peer_ar0_ma,twoway_event_peer,product_similarity,-0.0013563124256810305,0.002005756227327848,-0.6762100035895022,0.4989073221200484,88020,20099,2649,4136,-0.00015089595546466616,0.5554192229038855
M1_specz_x_ai_active,all_events,5,clean_m1_p1,peer_car_0_p1_ma,event_cluster,ai_active_peer_tminus5,-0.00013662336697558577,0.0003304158505881492,-0.41348914324900715,0.6792482750870938,88020,20099,2649,4136,-0.000718785378323107,0.5554192229038855
M1_specz_x_ai_active,all_events,5,clean_m1_p1,peer_car_0_p1_ma,event_cluster,specz_ai_active,-0.0003862969762322166,0.0003328934192452414,-1.1604223871654038,0.245876876348059,88020,20099,2649,4136,-0.000718785378323107,0.5554192229038855
M1_specz_x_ai_active,all_events,5,clean_m1_p1,peer_car_0_p1_ma,twoway_event_peer,ai_active_peer_tminus5,-0.00013662336697558577,0.00035812014051035766,-0.381501489362993,0.7028311662730917,88020,20099,2649,4136,-0.000718785378323107,0.5554192229038855
M1_specz_x_ai_active,all_events,5,clean_m1_p1,peer_car_0_p1_ma,twoway_event_peer,specz_ai_active,-0.0003862969762322166,0.0003300712329430241,-1.1703442701984816,0.24186245309086085,88020,20099,2649,4136,-0.000718785378323107,0.5554192229038855
M2_plus_similarity_control,all_events,5,clean_m1_p1,peer_car_0_p1_ma,event_cluster,ai_active_peer_tminus5,-0.00012368727207608932,0.00033067000325746047,-0.37405047587514645,0.7083667630521506,88020,20099,2649,4136,-0.000718785378323107,0.5554192229038855
M2_plus_similarity_control,all_events,5,clean_m1_p1,peer_car_0_p1_ma,event_cluster,specz_ai_active,-0.00038515031510271737,0.00033291752629449335,-1.156894079412388,0.24731563794311962,88020,20099,2649,4136,-0.000718785378323107,0.5554192229038855
M2_plus_similarity_control,all_events,5,clean_m1_p1,peer_car_0_p1_ma,event_cluster,product_similarity,-0.0037212598171810127,0.002758457189009231,-1.3490366397593418,0.17732519769761335,88020,20099,2649,4136,-0.000718785378323107,0.5554192229038855
M2_plus_similarity_control,all_events,5,clean_m1_p1,peer_car_0_p1_ma,twoway_event_peer,ai_active_peer_tminus5,-0.00012368727207608932,0.0003573581626182386,-0.34611570411565756,0.7292557618165374,88020,20099,2649,4136,-0.000718785378323107,0.5554192229038855
M2_plus_similarity_control,all_events,5,clean_m1_p1,peer_car_0_p1_ma,twoway_event_peer,specz_ai_active,-0.00038515031510271737,0.0003303194091687021,-1.1659935941154818,0.24361703546000157,88020,20099,2649,4136,-0.000718785378323107,0.5554192229038855
M2_plus_similarity_control,all_events,5,clean_m1_p1,peer_car_0_p1_ma,twoway_event_peer,product_similarity,-0.0037212598171810127,0.0029422028130398196,-1.2647869822870192,0.20594769911018096,88020,20099,2649,4136,-0.000718785378323107,0.5554192229038855
M1_specz_x_ai_active,all_events,5,clean_m1_p1,peer_car_m1_p1_ma,event_cluster,ai_active_peer_tminus5,-0.0004093163483407534,0.00044115615990726424,-0.9278264377557282,0.3534976077689924,88020,20099,2649,4136,-0.0004449933310611219,0.5554192229038855
M1_specz_x_ai_active,all_events,5,clean_m1_p1,peer_car_m1_p1_ma,event_cluster,specz_ai_active,-0.0003638724530272009,0.0004375089227443859,-0.8316915018434788,0.40558309865924835,88020,20099,2649,4136,-0.0004449933310611219,0.5554192229038855
M1_specz_x_ai_active,all_events,5,clean_m1_p1,peer_car_m1_p1_ma,twoway_event_peer,ai_active_peer_tminus5,-0.0004093163483407534,0.0004831040422620415,-0.8472633481272658,0.39684835105104543,88020,20099,2649,4136,-0.0004449933310611219,0.5554192229038855
M1_specz_x_ai_active,all_events,5,clean_m1_p1,peer_car_m1_p1_ma,twoway_event_peer,specz_ai_active,-0.0003638724530272009,0.00042999994035770086,-0.8462151244125964,0.3974327461407605,88020,20099,2649,4136,-0.0004449933310611219,0.5554192229038855
M2_plus_similarity_control,all_events,5,clean_m1_p1,peer_car_m1_p1_ma,event_cluster,ai_active_peer_tminus5,-0.0003870631665504688,0.0004415429664856794,-0.8766149524046883,0.38069581489303506,88020,20099,2649,4136,-0.0004449933310611219,0.5554192229038855
M2_plus_similarity_control,all_events,5,clean_m1_p1,peer_car_m1_p1_ma,event_cluster,specz_ai_active,-0.00036189992122646366,0.0004375306099334999,-0.8271419484946863,0.4081566103665253,88020,20099,2649,4136,-0.0004449933310611219,0.5554192229038855
M2_plus_similarity_control,all_events,5,clean_m1_p1,peer_car_m1_p1_ma,event_cluster,product_similarity,-0.006401458233259727,0.0034649901912958314,-1.847467923384141,0.06467935287194737,88020,20099,2649,4136,-0.0004449933310611219,0.5554192229038855
M2_plus_similarity_control,all_events,5,clean_m1_p1,peer_car_m1_p1_ma,twoway_event_peer,ai_active_peer_tminus5,-0.0003870631665504688,0.0004827854034833733,-0.8017292232899889,0.42270960757784115,88020,20099,2649,4136,-0.0004449933310611219,0.5554192229038855
M2_plus_similarity_control,all_events,5,clean_m1_p1,peer_car_m1_p1_ma,twoway_event_peer,specz_ai_active,-0.00036189992122646366,0.0004304082441358912,-0.8408294361392444,0.4004434939682191,88020,20099,2649,4136,-0.0004449933310611219,0.5554192229038855
M2_plus_similarity_control,all_events,5,clean_m1_p1,peer_car_m1_p1_ma,twoway_event_peer,product_similarity,-0.006401458233259727,0.003828378000739304,-1.6721071513898398,0.09450319469458268,88020,20099,2649,4136,-0.0004449933310611219,0.5554192229038855
M1_specz_x_ai_active,all_events,10,raw,peer_ar0_ma,event_cluster,ai_active_peer_tminus5,-3.527561741701783e-06,0.0001861514865705332,-0.01894995203471116,0.9848810307209945,190611,20124,2652,5041,0.0011238343065195612,0.5446695101541884
M1_specz_x_ai_active,all_events,10,raw,peer_ar0_ma,event_cluster,specz_ai_active,-0.00016052982411884258,0.00018008544374355874,-0.8914092154357388,0.3727096756465409,190611,20124,2652,5041,0.0011238343065195612,0.5446695101541884
M1_specz_x_ai_active,all_events,10,raw,peer_ar0_ma,twoway_event_peer,ai_active_peer_tminus5,-3.527561741701783e-06,0.00022247597316223046,-0.01585592228932276,0.9873493344948221,190611,20124,2652,5041,0.0011238343065195612,0.5446695101541884
M1_specz_x_ai_active,all_events,10,raw,peer_ar0_ma,twoway_event_peer,specz_ai_active,-0.00016052982411884258,0.00019188061388493183,-0.8366130421862737,0.4028101121732124,190611,20124,2652,5041,0.0011238343065195612,0.5446695101541884
M2_plus_similarity_control,all_events,10,raw,peer_ar0_ma,event_cluster,ai_active_peer_tminus5,-8.85726751573795e-06,0.0001861423520273932,-0.047583300733379,0.9620483410374121,190611,20124,2652,5041,0.0011238343065195612,0.5446695101541884
M2_plus_similarity_control,all_events,10,raw,peer_ar0_ma,event_cluster,specz_ai_active,-0.00016035779399321986,0.0001800762015871012,-0.8904996472599199,0.37319765773231284,190611,20124,2652,5041,0.0011238343065195612,0.5446695101541884
M2_plus_similarity_control,all_events,10,raw,peer_ar0_ma,event_cluster,product_similarity,0.0016487329074186057,0.0016851264793231934,0.9784030621136494,0.32787501432210275,190611,20124,2652,5041,0.0011238343065195612,0.5446695101541884
