sample_name,top_n,clean,obs,events,focal_firms,peer_firms,mean_ai_active,mean_specificity,mean_ar0,mean_car_0_p1,mean_car_m1_p1
all_events,5,raw,100620,20124,2652,4447,0.5288411846551382,3.9260228339570773,0.0011789291894496472,0.0017389344906752213,0.0033607895708352557
all_events,5,clean_m1_p1,88020,20099,2649,4136,0.5554192229038855,3.925014913165961,-0.00015089595546466616,-0.000718785378323107,-0.0004449933310611219
all_events,10,raw,201240,20124,2652,5251,0.5185102365334924,3.9260228339570773,0.0011238343065195615,0.0016647252302393236,0.003212718427577801
all_events,10,clean_m1_p1,176129,20116,2652,4926,0.5451402097326391,3.9258918143835104,-0.00017846628891323872,-0.0007771881291553338,-0.0005394870861697952
first_focal_event,5,raw,13260,2652,2652,4447,0.2409502262443439,4.357582927467988,0.0019660502176366275,0.0031937071440090287,0.005662278996612353
first_focal_event,5,clean_m1_p1,11589,2647,2647,4046,0.2561912158080939,4.353467640559723,0.0008505662265941841,0.0013588823884718253,0.0029473518854085745
first_focal_event,10,raw,26520,2652,2652,5251,0.24521116138763197,4.357582927467988,0.0019214979644483854,0.0029934802628926237,0.005285512585720045
first_focal_event,10,clean_m1_p1,23176,2652,2652,4854,0.2595788746979634,4.357582927467988,0.0006983809544356227,0.0009839598722816692,0.002433390101829476
