cap_basis,coef_used,active_obs_with_cap,coverage_share_active_obs,median_cap_rmb,mean_cap_rmb,p25_cap_rmb,p75_cap_rmb,median_effect_rmb,mean_effect_rmb,sum_effect_across_active_obs_rmb
total_market_cap,-0.002303271928067795,1627,0.988456865127582,9484800000.0,37731946361.64106,4815338760.0,24953474285.0,-21846073.583337422,-86906932.84612763,-141397579740.64963
float_market_cap,-0.002303271928067795,1627,0.988456865127582,7750535650.0,34393449339.366936,3691920920.0,21494794790.0,-17851591.19013368,-79217466.3727857,-128886817788.52234
