variable,count,unique,top,freq,mean,min,25%,50%,75%,max,std
event_id,2177,2177,CSMAR00001_002230_20230101,1,,,,,,,
event_date,2177,,,,2024-05-22 21:02:04.023886336,2023-01-01 00:00:00,2023-03-28 00:00:00,2025-01-25 00:00:00,2025-03-12 00:00:00,2026-05-20 00:00:00,
ai_theme_abret_0_p1,2177.0,,,,6.525172361157435e-05,-0.08101077595575755,-0.006181558823824341,0.00013384109512094714,0.006816392611866619,0.06491105279864762,0.011686959696858254
ai_theme_n_0,2177.0,,,,2098.530087276068,1855.0,1899.0,2201.0,2234.0,2526.0,183.74128165502032
ai_theme_n_p1,2177.0,,,,2099.7560863573726,1853.0,1901.0,2201.0,2236.0,2526.0,183.92893883588306
market_ret_0_p1,2177.0,,,,0.000852592558566827,-0.075861,-0.00467,0.0017210000000000003,0.007300000000000001,0.1094869999999999,0.011829581797450518
